escombro,envases,carton,bolsas,electricos,pilas,neumaticos,medicamentos,varios,volumen,dia_semana,mes_anio,hora_dia,latitud,longitud,class
0,0,0,0,0,0,0,0,1,0.6,0.16666666666667,0.27272727272727,0.95652173913043,0.61083173804967,0.073631457208928,cerca
0,0,0,0,0,0,0,1,0,0.2,1,0.90909090909091,1,0.58771679190834,0.78591178581879,lejos
0,1,1,0,0,0,0,0,0,0.6,0.5,0.27272727272727,0.82608695652174,0.68750535729593,0.15882806476489,lejos
1,0,1,0,0,0,0,1,1,1,1,0.90909090909091,0.52173913043478,0.6122174919283,0.41177252545656,lejos
0,1,0,1,0,0,1,1,0,1,1,0.72727272727273,0.8695652173913,0.7758507385925,0.80902879323644,lejos
1,0,1,0,1,0,1,0,0,0,1,0.27272727272727,0.73913043478261,0.40635446727049,0.74847791986805,lejos
0,0,1,0,0,0,0,0,0,0.4,0.83333333333333,0.81818181818182,0.1304347826087,0.65470442012628,0.50030574535408,medio
1,0,1,0,1,0,0,0,0,1,0.66666666666667,0,0.78260869565217,0.44652704362979,0.19473320394552,lejos
0,0,0,0,1,0,1,1,0,0.6,0.33333333333333,0.36363636363636,0.73913043478261,0.46502757221636,0.063196235344235,lejos
1,1,0,0,0,0,0,0,0,0.4,0,0.27272727272727,0.08695652173913,0.89481128032228,0.67150985031776,lejos
1,0,0,0,0,1,0,0,0,1,0.16666666666667,0.45454545454545,0.39130434782609,0.20742021200605,0.37799431047778,medio
1,0,0,0,0,0,1,1,0,0.6,0.66666666666667,0.27272727272727,0.78260869565217,0.38355381582332,0.89098184138463,medio
0,1,1,0,1,1,0,1,0,0,0,0.81818181818182,0.21739130434783,0.27832223777822,0.2265706005902,medio
1,1,0,0,0,0,1,1,0,0.6,0.5,0.81818181818182,0.8695652173913,0.56605903025798,0.056802169462655,cerca
1,0,1,0,0,0,0,0,1,0.6,0.16666666666667,1,0.30434782608696,0.51305751592902,0.048892670087385,cerca
0,0,0,0,1,0,1,0,0,0.2,0,0.72727272727273,0.73913043478261,0.78456527329351,0.78865020072841,medio
0,1,0,0,0,1,0,0,1,0.2,0.66666666666667,1,0.43478260869565,0.27965084716705,0.30619732539275,cerca
1,0,0,0,0,0,1,0,0,0.6,0.66666666666667,0.72727272727273,0.56521739130435,0.48764250407156,0.28306702469887,cerca
0,0,1,0,0,0,1,1,1,0.2,0.16666666666667,0.45454545454545,0.43478260869565,0.86099602845794,0.49219684683483,lejos
0,0,0,0,1,1,1,1,0,0.8,0.16666666666667,1,0.17391304347826,0.76476470756306,0.76562624624473,lejos
1,0,0,0,1,1,0,0,1,0.8,0,0.27272727272727,0.52173913043478,0.50434298122801,0.4791162629941,lejos
1,0,1,0,1,1,0,0,0,0.8,1,0.72727272727273,0.08695652173913,0.78366524757848,0.74624464945639,lejos
1,0,1,0,1,1,0,0,1,0,0.33333333333333,1,0.65217391304348,0.38836823909253,0.44371626831144,lejos
0,1,0,0,0,1,0,0,0,0.2,0.83333333333333,0.36363636363636,0.043478260869565,0.20627732220919,0.21835535586095,medio
0,0,0,0,1,1,1,0,0,0.6,0.83333333333333,0,0.78260869565217,0.56118746249891,0.86075293116742,medio
0,0,0,0,0,0,1,1,1,0.8,0.33333333333333,0.63636363636364,0.1304347826087,0.10018857681649,0.57424294791699,lejos
0,0,1,1,0,1,0,0,0,0.6,0.66666666666667,0.45454545454545,0.47826086956522,0.45044144118402,0.9802196049239,lejos
0,1,0,0,0,0,0,0,0,0.2,0.5,0.90909090909091,0.91304347826087,0.38908254521558,0.49635764230456,lejos
0,1,0,0,0,0,0,0,1,0.8,0.5,0.90909090909091,1,0.98294236978197,0.36065987823355,lejos
1,1,0,0,0,1,1,0,0,0,0.66666666666667,0.81818181818182,0.43478260869565,0.76712191776905,0.26512110174667,lejos
0,0,0,0,0,0,0,1,0,1,0.16666666666667,0.27272727272727,0.08695652173913,0.38139661133172,0.07150453300727,lejos
0,1,0,1,0,0,0,0,0,1,0.16666666666667,0.27272727272727,0.21739130434783,0.42799794279838,0.46025310397995,medio
1,1,0,0,0,0,0,0,1,1,0.83333333333333,0.63636363636364,0.73913043478261,0.81183748107084,0.68732884906811,lejos
0,0,0,0,0,0,0,1,0,1,1,0.45454545454545,0.95652173913043,0.90184005257293,0.36024778666956,lejos
0,0,1,0,1,0,1,1,1,0.8,0.16666666666667,0,0.47826086956522,0.35956741621191,0.9048733150773,lejos
0,0,1,0,0,0,0,0,0,0.6,0.33333333333333,0.54545454545455,0.82608695652174,0.72212063201806,0.46126339297587,medio
1,0,1,0,0,1,0,0,0,0.4,1,0.72727272727273,0.82608695652174,0.83999542844078,0.77921197458322,lejos
0,0,0,1,1,0,0,0,1,0.6,0.33333333333333,0.81818181818182,0.47826086956522,0.67549072830651,0.50598197431731,cerca
1,1,0,0,0,1,1,0,0,0.8,1,0.54545454545455,0.95652173913043,0.02888653961542,0.45061547869079,lejos
1,0,1,1,0,0,1,0,0,1,0.5,0.45454545454545,0.21739130434783,0.45595588445381,0.076582564538946,lejos
0,0,0,1,0,0,0,0,0,0,0.83333333333333,0.54545454545455,1,0.424854995857,0.64756865977193,lejos
1,1,0,0,1,0,0,0,0,0.8,0.83333333333333,0.27272727272727,0.73913043478261,0.5684876710763,0.29360859277376,lejos
1,0,1,1,1,1,0,0,0,0.4,0.5,0.81818181818182,0.47826086956522,0.90702591502614,0.33915135724355,lejos
0,0,0,0,0,1,0,0,0,0.2,0.66666666666667,0.54545454545455,0.82608695652174,0.55101574330694,0.82171057878922,cerca
1,0,1,1,0,1,1,0,0,1,1,0.81818181818182,0.26086956521739,0.25439298265666,0.43753489485025,lejos
0,1,0,0,0,0,1,0,0,1,1,0.72727272727273,0.82608695652174,0.54725849309978,0.4186717358361,medio
0,0,0,1,0,0,0,0,0,0.4,0.16666666666667,0,0.60869565217391,0.52740078287948,0.45456358174031,medio
0,0,0,1,1,1,0,0,1,0.4,0.5,0.27272727272727,0.95652173913043,0.15863310380296,0.70821258607391,medio
1,1,0,0,1,1,0,0,0,0.8,0.33333333333333,0.54545454545455,0.43478260869565,0.13370382010914,0.73448009996538,cerca
0,1,0,1,1,1,0,0,1,1,0.16666666666667,1,0.52173913043478,0.045529872282071,0.32048759737319,cerca
0,0,0,1,0,0,0,1,0,0.4,0.66666666666667,0,0.39130434782609,0.56791622617789,0.93296200781644,lejos
1,0,0,0,1,1,0,0,0,0,1,0.27272727272727,0.65217391304348,0.9642704077259,0.70213755882273,lejos
0,0,1,0,0,0,0,0,0,0.6,0.33333333333333,0.36363636363636,0.95652173913043,0.65353295808452,0.57678196368283,medio
0,0,1,1,1,1,0,0,1,0,0.16666666666667,0.72727272727273,0.82608695652174,0.56211606045885,0.72109377077067,lejos
0,0,0,1,0,1,0,1,0,1,0.66666666666667,0.36363636363636,0.1304347826087,0.54864424697847,0.063488687421991,lejos
0,1,1,0,1,0,1,1,0,0,1,0.90909090909091,0.43478260869565,0.3390525443584,0.80162443835913,lejos
0,1,0,0,0,0,1,0,0,0.2,1,0.36363636363636,0.39130434782609,0.53827252207204,0.3387525589556,medio
0,1,1,0,0,1,0,0,0,0,0.5,0.81818181818182,0.8695652173913,0.92474070687733,0.56399383191986,lejos
0,1,0,1,1,0,1,1,0,1,0.83333333333333,0.63636363636364,0.21739130434783,0.81546615617587,0.76937495015027,lejos
0,0,1,0,0,0,0,0,0,0.6,0.83333333333333,0,0.43478260869565,0.74653561530327,0.47099407119882,lejos
